,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,csi_300,szse_component,usd_cny,us_10y_yield
sp500,1.0,0.9958823362103744,0.9920056397464898,0.9521360389086672,0.004406746967335377,0.6011710060546039,-0.7152214723261062,0.30216890708047883,0.6349782396326009,0.5003017763211521
nasdaq_composite,0.9958823362103744,1.0,0.9846344253168985,0.9487319430353055,0.03714526223500848,0.608414379207354,-0.6867129163126903,0.3470521810932346,0.6230478380862031,0.467227954347818
dow_jones,0.9920056397464898,0.9846344253168985,1.0,0.9707513657699215,-0.006229679336667249,0.6018182622124083,-0.7031689370508885,0.2901880767210293,0.6430219848847418,0.4645060082273431
russell_2000,0.9521360389086672,0.9487319430353055,0.9707513657699215,1.0,-0.07293537097878956,0.6402398093328414,-0.5895494237823347,0.35686095695476944,0.5204328694927366,0.3511366776448013
vix,0.004406746967335377,0.03714526223500848,-0.006229679336667249,-0.07293537097878956,1.0,0.0008721829152094151,-0.029196993336957255,0.20072669738552298,0.11615192541733507,-0.16326999321601196
sse_index,0.6011710060546039,0.608414379207354,0.6018182622124083,0.6402398093328414,0.0008721829152094151,1.0,-0.23427638981488388,0.7995411598243601,0.3657268229237035,0.16683643158078992
csi_300,-0.7152214723261062,-0.6867129163126903,-0.7031689370508885,-0.5895494237823347,-0.029196993336957255,-0.23427638981488388,1.0,0.039905038703963884,-0.6429098366683107,-0.7125636568297359
szse_component,0.30216890708047883,0.3470521810932346,0.2901880767210293,0.35686095695476944,0.20072669738552298,0.7995411598243601,0.039905038703963884,1.0,0.04847533590143339,-0.12592471576746472
usd_cny,0.6349782396326009,0.6230478380862031,0.6430219848847418,0.5204328694927366,0.11615192541733507,0.3657268229237035,-0.6429098366683107,0.04847533590143339,1.0,0.5227251184442507
us_10y_yield,0.5003017763211521,0.467227954347818,0.4645060082273431,0.3511366776448013,-0.16326999321601196,0.16683643158078992,-0.7125636568297359,-0.12592471576746472,0.5227251184442507,1.0
