pair,left,right,period,correlation,observations
sp500_vs_sse_index,sp500,sse_index,2010_2014,-0.5410423078016272,1303
sp500_vs_sse_index,sp500,sse_index,2015_2019,-0.3799539274378123,1304
sp500_vs_sse_index,sp500,sse_index,2020_2022,0.7218946956989564,783
sp500_vs_sse_index,sp500,sse_index,2023_now,0.7210275534102147,866
sp500_vs_csi_300,sp500,csi_300,2010_2014,,1303
sp500_vs_csi_300,sp500,csi_300,2015_2019,,1304
sp500_vs_csi_300,sp500,csi_300,2020_2022,-0.29576294012775317,783
sp500_vs_csi_300,sp500,csi_300,2023_now,0.5876404619993064,866
sp500_vs_szse_component,sp500,szse_component,2010_2014,-0.7353067394371673,1303
sp500_vs_szse_component,sp500,szse_component,2015_2019,-0.49000730598864,1304
sp500_vs_szse_component,sp500,szse_component,2020_2022,0.5657301660649992,783
sp500_vs_szse_component,sp500,szse_component,2023_now,0.49299814617685395,866
usd_cny_vs_sse_index,usd_cny,sse_index,2010_2014,0.7640237192691747,1303
usd_cny_vs_sse_index,usd_cny,sse_index,2015_2019,-0.6118236574232252,1304
usd_cny_vs_sse_index,usd_cny,sse_index,2020_2022,-0.8132630134436297,783
usd_cny_vs_sse_index,usd_cny,sse_index,2023_now,-0.40506503423801965,866
usd_cny_vs_csi_300,usd_cny,csi_300,2010_2014,,1303
usd_cny_vs_csi_300,usd_cny,csi_300,2015_2019,,1304
usd_cny_vs_csi_300,usd_cny,csi_300,2020_2022,-0.2140202288179242,783
usd_cny_vs_csi_300,usd_cny,csi_300,2023_now,-0.504326884353242,866
usd_cny_vs_szse_component,usd_cny,szse_component,2010_2014,0.7910826898675346,1303
usd_cny_vs_szse_component,usd_cny,szse_component,2015_2019,-0.6659271991247858,1304
usd_cny_vs_szse_component,usd_cny,szse_component,2020_2022,-0.7674119070908566,783
usd_cny_vs_szse_component,usd_cny,szse_component,2023_now,-0.5919188046489583,866
