,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,csi_300,szse_component,usd_cny,us_10y_yield
sp500,1.0,0.9279090781558711,0.9788497783967663,0.898873150738809,-0.6105234432731603,0.7218946956989587,-0.2957629401277523,0.5657301660649999,-0.7671702265840568,0.348880948475421
nasdaq_composite,0.9279090781558711,1.0,0.8798341867009271,0.93172980632567,-0.601554528121239,0.8724523372263603,0.01854134283717733,0.79986376227661,-0.868955046393045,0.02662735953503967
dow_jones,0.9788497783967663,0.8798341867009271,1.0,0.9100035118101278,-0.6832650297909326,0.68814735252006,-0.32120957931571226,0.5223588823070768,-0.7094510298552538,0.41552612729078203
russell_2000,0.898873150738809,0.93172980632567,0.9100035118101278,1.0,-0.6794083867129319,0.8183719005232758,-0.023539121854198975,0.7276381288323709,-0.8126702260070849,0.1627143799623721
vix,-0.6105234432731603,-0.601554528121239,-0.6832650297909326,-0.6794083867129319,1.0,-0.5562050130376519,-0.03462236380298076,-0.47203337935683976,0.4139588850838076,-0.11420064971671536
sse_index,0.7218946956989587,0.8724523372263603,0.68814735252006,0.8183719005232758,-0.5562050130376519,1.0,0.2654266240166444,0.9508251281291814,-0.8132630134436292,-0.1628244173652835
csi_300,-0.2957629401277523,0.01854134283717733,-0.32120957931571226,-0.023539121854198975,-0.03462236380298076,0.2654266240166444,1.0,0.4724078149818682,-0.21402022881792168,-0.9280925395867853
szse_component,0.5657301660649999,0.79986376227661,0.5223588823070768,0.7276381288323709,-0.47203337935683976,0.9508251281291814,0.4724078149818682,1.0,-0.7674119070908554,-0.3897248597692711
usd_cny,-0.7671702265840568,-0.868955046393045,-0.7094510298552538,-0.8126702260070849,0.4139588850838076,-0.8132630134436292,-0.21402022881792168,-0.7674119070908554,1.0,0.16404171709142043
us_10y_yield,0.348880948475421,0.02662735953503967,0.41552612729078203,0.1627143799623721,-0.11420064971671536,-0.1628244173652835,-0.9280925395867853,-0.3897248597692711,0.16404171709142043,1.0
