,sp500,nasdaq_composite,dow_jones,russell_2000,vix,sse_index,csi_300,szse_component,usd_cny,us_10y_yield
sp500,1.0,0.9964122699395122,0.9915123091080184,0.938759893267365,0.07675652058351412,0.7210275534102121,0.587640461999306,0.4929981461768535,0.02135327557979964,0.3483502036928095
nasdaq_composite,0.9964122699395122,1.0,0.982405267052416,0.9346944971088926,0.044536489656019584,0.7323161021835849,0.5981944937571404,0.5080898236981755,0.030900440224710692,0.3584805152902191
dow_jones,0.9915123091080184,0.982405267052416,1.0,0.9550622519420147,0.08335975809647765,0.7253433844972403,0.5979515032736542,0.511027694992232,-0.03449604273637534,0.3109163900297358
russell_2000,0.938759893267365,0.9346944971088926,0.9550622519420147,1.0,0.009662311973874196,0.7525730058343044,0.6597487844483335,0.6042878440453687,-0.18530083655761426,0.1955199823600789
vix,0.07675652058351412,0.044536489656019584,0.08335975809647765,0.009662311973874196,1.0,0.23328341562224164,0.24303689352085395,0.22193242371210029,-0.2027055805014116,-0.05776479919577923
sse_index,0.7210275534102121,0.7323161021835849,0.7253433844972403,0.7525730058343044,0.23328341562224164,1.0,0.971169569886256,0.9411958938262995,-0.40506503423803203,0.03794378471669637
csi_300,0.587640461999306,0.5981944937571404,0.5979515032736542,0.6597487844483335,0.24303689352085395,0.971169569886256,1.0,0.9775391371589066,-0.5043268843532513,-0.09157890007889755
szse_component,0.4929981461768535,0.5080898236981755,0.511027694992232,0.6042878440453687,0.22193242371210029,0.9411958938262995,0.9775391371589066,1.0,-0.591918804648965,-0.1466631064595718
usd_cny,0.02135327557979964,0.030900440224710692,-0.03449604273637534,-0.18530083655761426,-0.2027055805014116,-0.40506503423803203,-0.5043268843532513,-0.591918804648965,1.0,0.6409578655994115
us_10y_yield,0.3483502036928095,0.3584805152902191,0.3109163900297358,0.1955199823600789,-0.05776479919577923,0.03794378471669637,-0.09157890007889755,-0.1466631064595718,0.6409578655994115,1.0
